PrintLeffHist2Obs
1 7.500 -0.100 0.100 0.589 0.016 -1.000 1.18536 0.05927
1 7.500 -0.100 0.100 0.615 0.016 -1.000 2.89346 0.14467
1 7.500 -0.100 0.100 0.641 0.016 -1.000 4.54517 0.22726
1 7.500 -0.100 0.100 0.668 0.016 -1.000 4.85602 0.24280
1 7.500 -0.100 0.100 0.694 0.016 -1.000 4.70152 0.23508
1 7.500 -0.100 0.100 0.720 0.016 -1.000 4.55957 0.22798
1 7.500 -0.100 0.100 0.746 0.016 -1.000 4.42889 0.22144
1 7.500 -0.100 0.100 0.772 0.016 -1.000 4.30836 0.21542
1 7.500 -0.100 0.100 0.798 0.016 -1.000 4.19702 0.20985
1 7.500 -0.100 0.100 0.825 0.016 -1.000 4.09402 0.20470
1 7.500 -0.100 0.100 0.851 0.016 -1.000 3.99864 0.19993
1 7.500 -0.100 0.100 0.223 0.047 -1.000 1.40834 0.07042
1 7.500 -0.100 0.100 0.249 0.047 -1.000 4.21398 0.21070
1 7.500 -0.100 0.100 0.275 0.047 -1.000 6.53358 0.32668
1 7.500 -0.100 0.100 0.301 0.047 -1.000 8.50008 0.42500
1 7.500 -0.100 0.100 0.327 0.047 -1.000 10.20418 0.51021
1 7.500 -0.100 0.100 0.353 0.047 -1.000 11.71004 0.58550
1 7.500 -0.100 0.100 0.380 0.047 -1.000 13.06450 0.65322
1 7.500 -0.100 0.100 0.406 0.047 -1.000 14.30266 0.71513
1 7.500 -0.100 0.100 0.432 0.047 -1.000 15.45156 0.77258
1 7.500 -0.100 0.100 0.458 0.047 -1.000 16.53245 0.82662
1 7.500 -0.100 0.100 0.484 0.047 -1.000 17.56248 0.87812
1 7.500 -0.100 0.100 0.511 0.047 -1.000 18.55578 0.92779
1 7.500 -0.100 0.100 0.537 0.047 -1.000 19.52428 0.97621
1 7.500 -0.100 0.100 0.563 0.047 -1.000 20.47826 1.02391
1 7.500 -0.100 0.100 0.589 0.047 -1.000 21.42683 1.07134
1 7.500 -0.100 0.100 0.615 0.047 -1.000 22.37827 1.11891
1 7.500 -0.100 0.100 0.641 0.047 -1.000 23.34025 1.16701
1 7.500 -0.100 0.100 0.668 0.047 -1.000 23.05229 1.15261
1 7.500 -0.100 0.100 0.694 0.047 -1.000 22.31883 1.11594
1 7.500 -0.100 0.100 0.720 0.047 -1.000 21.64499 1.08225
1 7.500 -0.100 0.100 0.746 0.047 -1.000 21.02463 1.05123
1 7.500 -0.100 0.100 0.772 0.047 -1.000 20.45246 1.02262
1 7.500 -0.100 0.100 0.798 0.047 -1.000 19.92390 0.99620
1 7.500 -0.100 0.100 0.825 0.047 -1.000 19.43496 0.97175
1 7.500 -0.100 0.100 0.851 0.047 -1.000 18.98215 0.94911
1 7.500 -0.100 0.100 0.877 0.047 -1.000 18.56238 0.92812
1 7.500 -0.100 0.100 0.144 0.079 -1.000 2.97115 0.14856
1 7.500 -0.100 0.100 0.170 0.079 -1.000 6.67520 0.33376
1 7.500 -0.100 0.100 0.196 0.079 -1.000 9.43619 0.47181
1 7.500 -0.100 0.100 0.223 0.079 -1.000 11.59424 0.57971
1 7.500 -0.100 0.100 0.249 0.079 -1.000 13.34650 0.66733
1 7.500 -0.100 0.100 0.275 0.079 -1.000 14.81533 0.74077
1 7.500 -0.100 0.100 0.301 0.079 -1.000 16.08081 0.80404
